authorizer,enterer,modifier,reference_no,author1init,author1last,author2init,author2last,otherauthors,pubyr,reftitle,pubtitle,editors,pubvol,pubno,firstpage,lastpage,publication_type,basis,language,doi,comments,project_name,project_ref_no,created,modified
M. Patzkowsky,P. Borkow,J. Ju,564,J. K.,Rigby,R. C.,Gutschick,,1976,Two new Lower Paelozoic Hexactinellid sponges from Utah and Oklahoma,Journal of Paleontology,,50,1,79,85,journal article,stated without evidence,English,,,,NA,2000-06-30 08:10:46,2016-11-25 08:39:29
J. Alroy,M. Sommers,,570,D. D. J.,Antia,,,,1981,"Faunas from the Upper Silurian (Upper Ludlovian) in the Ludlow-Much Wenlock District, England",Geological Journal,,16,,137,147,,stated without evidence,,,,,NA,2000-07-05 11:31:50,2000-07-06 04:31:50
J. Alroy,M. Sommers,J. Alroy,586,L. R.,Laudon,J. M.,Parks,A. C. Spreng,1952,"Mississippian crinoid fauna from the Banff Formation, Sunwapta Pass, Alberta",Journal of Paleontology,,26,4,544,575,journal article,stated without evidence,,,,,NA,2000-08-10 08:20:35,2009-11-23 09:24:02
A. Miller,K. Layou,,683,K. B.,Miller,,,,1986,"Depositional Environments and Sequences, ""Pleurodictyum Zone,"" Ludlowville Formation of Western New York","Dynamic Stratigraphy and Depositional Environments of the Hamilton Group (Middle Devonian) in New York State, Part I, New York State Museum Bulletin",,,457,57,77,,stated without evidence,,,,,NA,2000-08-28 06:03:54,2000-08-29 00:03:54
A. Miller,K. Layou,,684,M.,Savarese,L. M.,Gray,C. E. Brett,1986,Faunal and Lithologic Cyclicity in the Centerfield Member (Middle Devonian:  Hamilton Group) of Western New York:  A Reinterpretation of Depositional History,"Dynamic Stratigraphy and Depositional Environments of the Hamilton Group (Middle Devonian) in New York State, Part I, New York State Museum Bulletin",,,457,32,56,,stated without evidence,,,,,NA,2000-08-28 11:22:38,2000-08-29 05:22:38
A. Miller,K. Layou,A. Hendy,746,T. X.,Grasso,,,,1986,"Redefinition, Stratigraphy and Depostional Environments of the Mottville Member (Hamilton Group) in Central and Eastern New York","Dynamic Stratigraphy and Depositional Environments of the Hamilton Group (Middle Devonian) in New York State, Part I, NY State Museum Bulletin",,,457,5,31,serial monograph,stated without evidence,English,,,1%,NA,2000-08-30 05:51:47,2005-07-28 13:31:21
A. Miller,K. Layou,,762,S. M.,Mayer,,,,1989,"Stratigraphy and Paleontology of the Jaycox Shale Member, Hamilton Group of the Finger Lakes Region of New York State","unpublished M.S. thesis, State University of New York College at Fredonia",,,,1,121,,stated without evidence,,,,,NA,2000-09-12 13:15:17,2000-09-13 07:15:17
A. Miller,K. Layou,,806,C. E.,Brett,V. B.,Dick,G. C. Baird,1991,Comparative Taphonomy and Paleoecology of Middle Devonian Dark Gray and Black Shale Facies from Western New York,"Dynamic Stratigraphy and Depositional Environments of the Hamilton Group (Middle Devonian) in New York State, Part II; New York State Museum Bulletin",,,469,5,36,,stated without evidence,,,,,NA,2000-10-23 08:08:50,2000-10-24 02:08:50
A. Miller,K. Layou,,807,L. M.,Gray,,,,1991,"Paleoecology, origin, and significance of a shell-rich bed in the lowermost part of the Ludlowville Formation (Middle Devonian, central New York)","Dynamic Stratigraphy and Depositional Environments of the Hamilton Group (Middle Devonian) in New York State, Part II; New York State Museum Bulletin",,,469,93,106,,stated without evidence,,,,,NA,2000-10-24 09:26:34,2000-10-25 03:26:34
A. Miller,K. Layou,,808,J. C.,Brower,O. B.,"Nye, Jr.",,1991,"Quantitative Analysis of Paleocommunities in the Lower Part of the Hamilton Group near Cazenovia, New York","Dynamic Stratigraphy and Depositional Environments of the Hamilton Group (Middle Devonian) in New York State, Part II; New York State Museum Bulletin",,,469,37,73,,stated without evidence,,,,,NA,2000-10-24 11:26:02,2000-10-25 05:26:02
A. Miller,K. Layou,,811,E. V.,Storm,,,,1985,"A study of a diminutive fauna from the Marcellus Formation (Middle Devonian-Erian) from sites in Albany County, New York, and Sussex County, New Jersey","unpublished M. A. thesis, Montclair State College",,,,1,27,,stated without evidence,,,,,NA,2000-11-08 03:47:28,2000-11-08 22:47:28
A. Miller,K. Layou,,823,F. M.,"Swain, Jr.",,,,1939,Some Faunas from the Onondaga Formation in Central Pennsylvania and West Virginia,"M.S. thesis, Pennsylvania State University",,,,1,100,M.S. thesis,stated without evidence,,,,,NA,0000-00-00 00:00:00,0000-00-00 00:00:00
A. Miller,K. Layou,P. Wagner,827,"W. A., Jr.",Oliver,,,,1952,Stratigraphy of the Onondaga Limestone in Central New York,"PhD thesis, Cornell University",,,,1,98,Ph.D. thesis,stated without evidence,English,,,,NA,2000-12-05 12:13:59,2011-09-15 06:18:33
A. Miller,K. Layou,,830,H. R.,Feldman,,,,1978,Brachiopods and Community Ecology of the Onondaga Limestone,"Ph.D. thesis, Rutgers University",,,,1,203,Ph.D. thesis,stated without evidence,,,,,NA,2000-12-06 13:36:41,2000-12-07 08:36:41
M. Patzkowsky,P. Borkow,P. Wagner,840,S. R.,Westrop,R.,Ludvigsen,C. H. Kindle,1996,"Marjuman (Cambrian) agnostoid trilobites of the Cow Head Group, western Newfoundland",Journal of Paleontology,,70,5,804,829,journal article,stated without evidence,English,,,,NA,2001-01-10 08:08:44,2010-05-27 11:30:14
A. Miller,K. Layou,,841,R. L.,Ellison,,,,1965,Stratigraphy and Paleontology of the Mahantango Formation in south-central Pennsylvania,Pennsylvania Geological Survey Bulletin G48,,,,1,298,book/book chapter,stated without evidence,,,,,NA,2001-01-10 10:22:43,2001-01-11 05:22:43
M. Patzkowsky,P. Borkow,,842,J. H.,Stitt,W. M.,Straatmann,,1997,"Trilobites from the upper part of the Deadwood Formation (Upper Franconian and Trempealeauan stages, Upper Cambrain), Black Hills, SOuth Dakota",Journal of Paleontology,,71,1,86,102,journal article,stated without evidence,,,,,NA,2001-01-11 16:08:46,2001-01-12 11:08:46
M. Patzkowsky,P. Borkow,,856,B. R.,Pratt,,,,1998,Probable predation on Upper Cambrian trilobites and its relevance for the extinction of soft-bodied Burgess Shale-type animals,Lethaia,,31,,73,88,journal article,stated without evidence,,,,,NA,2001-01-25 13:45:25,2001-01-26 08:45:25
M. Patzkowsky,P. Borkow,,870,S. N.,Koneva,,,,1990,New Middle Cambrian Acrotretids (Brachiopods ) from the Lesser Karatau Range,Paleontological Journal,,24,3,45,55,journal article,stated without evidence,,,,,NA,2001-02-02 13:46:33,2001-02-03 08:46:33
A. Miller,K. Layou,,905,G. C.,Baird,C. E.,Brett,,1983,Regional variation and paleontology of two coral beds in the Middle Devonian Hamilton Group of Western New York,Journal of Paleontology,,57,3,417,446,journal article,stated without evidence,,,,,NA,0000-00-00 00:00:00,0000-00-00 00:00:00
J. Alroy,J. Alroy,M. Uhen,1446,R. J.,Emry,R. E.,Eshelman,,1998,The early Hemingfordian (early Miocene) Pollack Farm local fauna; first Tertiary land mammals described from Delaware,Delaware Geological Survey Special Publication,,21,,153,173,journal article,stated without evidence,English,,,,NA,2001-03-02 15:01:31,2013-09-26 03:42:43
A. Miller,K. Layou,,3808,K. B.,Macdonald,,,,1975,"Quantitative community analysis:  Recurrent group and cluster techniques applied to the fauna of the Upper Devonian Sonyea Group, New York",Journal of Geology,,82,,473,499,journal article,stated without evidence,,,,,NA,2001-03-05 12:27:56,2001-03-06 07:27:56
T. Olszewski,M. Gibson,,3813,E. W.,Bamber,J.B.,Waterhouse,,1971,"Carboniferous and Permian Stratigraphy and Paleontology, Northern Yukon Territory, Canada",Bulletin of Canadian Petroleum Geology,,19,1,29,250,book/book chapter,stated without evidence,,,,,NA,2002-03-04 16:40:34,2002-03-05 11:40:34
T. Olszewski,M. Gibson,T. Olszewski,3837,T. E.,Yancey,C.H.,Stevens,,1981,Early Permian fossil communities in northeastern Nevada and northwestern Utah,Communitites of the Past,,,,243,269,book/book chapter,stated without evidence,,,"Editors of Book are Jane Gray, A.J. Boucot, and William B.N. Berry",,NA,2002-03-04 16:40:34,2002-12-04 23:55:58
A. Miller,K. Layou,,3844,R. K.,Pabian,H. L.,Strimple,,1976,Middle Devonian Crinoids from western Maryland,Journal of Paleontology,,50,4,759,762,journal article,stated without evidence,,,,,NA,2001-04-17 11:25:30,2001-04-18 04:25:30
A. Miller,K. Layou,,3859,D. W.,Fisher,,,,1951,Marcasite fauna in the Ludlowville Formation of western New York,Journal of Paleontology,,25,3,365,371,journal article,stated without evidence,,,,,NA,2001-04-18 08:30:08,2001-04-19 01:30:08
A. Miller,J. Sessa,,3893,K. M.,Bezusko,,,,2001,Biotic Interaction Versus Abiotic Response as Mediators of Biodiversity in the Middle Devonian (Givetian) Upper Hamilton Group of New York State,University of Cincinnati,,,,1,122,M.S. thesis,stated without evidence,,,,,NA,2001-05-15 10:34:16,2001-05-16 03:34:16
M. Patzkowsky,P. Borkow,,3906,R. A.,Robison,,,,1999,"Base of Ptychagnostus atabus Zone, candidate stratotype for base of unnamed international series","Laurentia 99:  V field conference of the Cambrian Stage Subdivision Working Group, International Subcomission on Cambrian Stratigraphy",,,,15,17,journal article,stated without evidence,,,,,NA,2001-05-23 09:24:16,2001-05-24 02:24:16
M. Patzkowsky,P. Borkow,,3910,J. S.,Hollingsworth,,,,1999,A candidate position for the base of the Montezuman stage,"Laurentia 99: V field conference of the Cambrian Stage Subdivision Working Group, International Subcomission on Cambrian Stratigraphy",,,,34,37,journal article,stated without evidence,,,,,NA,2001-05-24 13:24:33,2001-05-25 06:24:33
M. Patzkowsky,P. Borkow,,3913,L. B.,McCollum,F. A.,Sundberg,,1999,"Biostratigraphy of the traditional Lower-Middle Cambrian boundary interval in the outher shelf Emigrant Formation, Split Mountain East Section, Esmeralda County, Nevada","Laurentai 99: V field conference of the Cambrian Stage Subdivision Working Group, International Subcomission on Cambrian Stratigraphy",,,,29,34,journal article,stated without evidence,,,,,NA,2001-05-25 09:25:16,2001-05-26 02:25:16
M. Patzkowsky,P. Borkow,,3929,E. D.,Fowler,,,,1999,"Biostratigraphy of upper Dyeran strata of the Carrara Formation, Emigrant Pass, Nopah Range, California","Laurentia 99:  V field conference of the Cambrian Stage Subdivision Working Group, International Subcomission on Cambrian Stratigraphy",,,,46,50,journal article,stated without evidence,,,,,NA,2001-05-29 07:25:22,2001-05-30 00:25:22
W. Kiessling,W. Kiessling,,3974,S. M.,Morsch,,,,2001,"Scleractinian corals of the Neuquen Basin (Lower Jurassic), Argentina",Bulletin of the Tohoku University Museum,,1,,320,332,journal article,stated without evidence,English,,,,NA,2002-03-04 16:40:35,2002-03-05 11:40:35
W. Kiessling,W. Kiessling,,3975,S. E.,Damborenea,,,,1987,"Early Jurassic Bivalvia of Argentina: Part 1, Stratigraphical introduction and superfamilies Nuculanacea, Arcacea, Mytilacea and Pinnacea",Palaeontographica,,A199,1-3,23,111,journal article,stated without evidence,English,,,,NA,2002-03-04 16:40:35,2002-03-05 11:40:35
M. Patzkowsky,P. Borkow,,4018,S. P.,Robson,B. R.,Pratt,,2001,"Cambrian and Ordovician linguliform brachiopods from the Shallow Bay Formation (Cow Heard Group), Western Newfoundland",Journal of Paleontology,,75,2,241,260,journal article,stated without evidence,,,,,NA,2001-06-21 10:02:03,2001-06-22 03:02:03
M. Patzkowsky,P. Borkow,P. Wagner,4030,G. A.,Young,R.,Ludvigsen,,1989,"Mid-Cambrian trilobites from the lowest part of the Cow Head Group, western Newfoundland",Geological Survey of Canada Bulletin,,392,,1,28,serial monograph,stated without evidence,English,,,,NA,2001-06-27 07:18:51,2015-11-21 17:03:53
M. Patzkowsky,P. Borkow,P. Borkow,4045,W. T.,Dean,,,,1989,"Trilobites from the Survey Peak, Outram and Skoki Formations (Upper Cambrian-Lower Ordovician) at Wilcox Pass, Jasper National Park, Alberta)",Geological Survey of Canada Bulletin,,,389,1,141,serial monograph,stated without evidence,,,,,NA,2001-07-05 11:14:41,2001-07-06 04:14:41
A. Miller,C. Ferguson,P. Wagner,4145,E. L.,Yochelson,D. H.,Van Sickle,,1968,"Biostratigraphy of the Phosphoria, Park City, and Shedhorn Formations; Geology of Permian Rocks in the Western Phosphate Field",United States Geological Survey Professional Paper,,313,D,572,660,journal article,stated without evidence,English,,,1%,17920,2001-07-25 10:45:12,2015-11-18 02:32:47
A. Miller,C. Ferguson,P. Wagner,4157,M. R.,Mudge,E. L.,Yochelson,"R. C. Douglas, H. Duncan, H. L. Strimple, M. Gordon, Jr., D. H. Dunkle",1962,Stratigraphy and Paleontology of the Uppermost Pennsylvanian and Lowermost Permian Rocks in Kansas,United States Geological Survey Professional Paper,,323,,1,213,serial monograph,stated with evidence,English,,,,NA,2001-08-03 12:20:57,2011-09-27 07:03:07
M. Patzkowsky,A. Krug,,4162,W. G.,Ayrton,W.B.N.,Berry,"A.J. Boucot, J. Lajoie, P.J. Lesperance, L. Pavlides, W.B. Skidmore",1969,Lower Llandovery of the Northern Appalachians and Adjacent Regions,Geological Society of America Bulletin,,80,,459,484,journal article,stated without evidence,,,,,NA,2002-03-04 16:40:36,2002-03-05 11:40:36
M. Patzkowsky,A. Krug,A. Krug,4171,P. M.,Sheehan,P.J.,Lesperance,,1981,"Brachiopods from the White Head Formation (Late Ordovician-Early Silurian) of the Perce region, Quebec, Canada","IUGS Subcommission on Silurian Stratigraphy, Ordovician-Silurian Boundary Working Group, Field meeting, Anticosti-Gaspe, Quebec, 1981",,2,,1,321,,stated without evidence,,,,,NA,2002-03-04 16:40:36,2004-03-25 02:22:34
M. Patzkowsky,A. Krug,A. Krug,4231,P. J.,Lesperance,P.M.,Sheehan,,1976,"Brachiopods from the Hirnantian Stage (Ordovician-Silurian) at Perce, Quebec",Paleontology,,19,4,719,731,journal article,stated without evidence,,,,,NA,2002-03-04 16:40:37,2004-03-25 02:23:04
M. Patzkowsky,A. Krug,,4246,P. J.,Lesperance,,,,1974,The Hirnantian fauna of the Perce area (Quebec) and the Ordovician-Silurian boundary,American Journal of Science,,274,,10,30,journal article,stated without evidence,,,,,NA,2002-03-04 16:40:37,2002-03-05 11:40:37
M. Foote,K. Koverman,J. Alroy,4294,C. E.,Brett,,,,1999,Wenlockian fossil communities in New York State and adjacent areas: Paleontology and Paleoecology,Paleocommunities: A Case Study from the Silurian and Lower Devonian,"A. J. Boucot, J. D. Lawson",,,592,637,book/book chapter,stated without evidence,English,,,,NA,2002-01-10 08:24:47,2011-07-23 17:20:27
M. Patzkowsky,A. Krug,J. Alroy,4376,P. J.,Lesp�rance,,,,1968,"Ordovician and Silurian trilobite faunas of the White Head Formation, Perc� Region, Qu�bec",Journal of Paleontology,,42,3,811,826,journal article,stated with evidence,English,,,,NA,2002-03-04 16:40:37,2008-06-21 05:47:36
M. Foote,K. Koverman,P. Wagner,4379,T. J.,Frest,C. E.,Brett,B. J. Witzke,1999,Caradocian-Gedinnian echinoderm associations of Central and Eastern North America,Paleocommunities--a case study from the Silurian and Lower Devonian,,,,638,783,book/book chapter,stated without evidence,English,,"in A. J. Boucot and J. D. Lawson, eds. Cambridge University Press, Cambridge.",,NA,2002-01-24 10:05:11,2007-01-01 16:43:00
A. Behrensmeyer,A. Behrensmeyer,J. Alroy,5666,S. D.,Emslie,G. S.,Morgan,,1994,A catastrophic death assemblage and paleoclimatic implications of Pliocene seabirds of Florida,Science,,264,,684,684,journal article,stated without evidence,English,,ETE reference number 1421,ETE,1421,2002-03-04 16:40:38,2009-01-05 04:32:59
M. Uhen,M. Uhen,M. Uhen,6031,R.,Kellogg,,,,1923,"Description of two squalodonts recently discovered in the Calvert Cliffs, Maryland; and notes on the shark-toothed cetaceans",Proceedings of the U. S. National Museum,,62,16,1,69,journal article,stated without evidence,,,No. 2462,,NA,2002-03-12 11:26:18,2003-02-21 08:12:34
M. Uhen,M. Uhen,M. Uhen,6034,R,Kellogg,,,,1969,Cetothere skeletons from the Miocene Choptank Formation of Maryland and Virginia,Bulletin - U.S. National Museum,,294,,1,40,journal article,stated without evidence,English,,,5%,40300,2002-03-12 11:38:06,2005-03-05 09:15:20
F. Fursich,D. Hempfling,M. Gahr,6119,S.,Holzapfel,,,,1998,Pal�kologie benthischer Faunengemeinschaften und Taxonomie der Bivalven im Jura von S�dtunesien,Beringeria - W�rzburger geowissenschaftliche Mitteilungen,,,22,1,199,,stated without evidence,German,,,,NA,2002-04-09 23:59:10,2003-02-05 19:36:42
A. Miller,R. Krause,P. Wagner,6130,D. M.,Rohr,E. L.,Yochelson,,1990,An unusual new Bellerophontacean Gastropod from the Ordovician (Whiterockian) of Nevada,Journal of Paleontology,,64,6,956,960,journal article,stated with evidence,English,,Specimens figured in this publication were measured for the Body Size Database for M. Kowalewski.,,NA,2002-04-15 15:44:29,2006-03-16 05:25:05
A. Miller,R. Krause,P. Wagner,6152,D. M.,Rohr,,,,1996,"Ordovician (Whiterockian) gastropods of Nevada, Part 2",Journal of Paleontology,,70,1,56,63,journal article,stated with evidence,English,,Specimens figured in this publication were measured for the Body Size Database for M. Kowalewski.,,NA,2002-04-29 07:12:31,2006-03-16 05:20:23
M. Foote,M. Foote,J. Ju,6160,B. G.,Baarli,,,,1987,"Benthic faunal associations in the Lower Silurian Solvik Formation of the Oslo-Asker Districts, Norway",Lethaia,,20,,75,90,journal article,stated without evidence,English,10.1111/j.1502-3931.1987.tb00763.x,,,NA,2002-04-29 18:31:49,2016-11-23 06:04:34
M. Foote,M. Foote,P. Wagner,6185,J.,K&#345;�,,,,1992,"Silurian field excursions: Prague Basin (Barrandian), Bohemia","National Museum of Wales, Geological Series",,13,,1,111,book/book chapter,stated without evidence,English,,,,NA,2002-05-08 19:01:29,2008-11-29 12:03:10
M. Foote,M. Foote,P. Wagner,6185,J.,K&#345;�,,,,1992,"Silurian field excursions: Prague Basin (Barrandian), Bohemia","National Museum of Wales, Geological Series",,13,,1,111,book/book chapter,stated without evidence,English,,,,NA,2002-05-08 19:01:29,2008-11-29 12:03:10
M. Foote,M. Foote,M. Foote,6189,V.,Havlicek,P.,Storch,,1999,"Silurian and Lochkovian communities in the Prague basin (Barrandian area, Czech Republic)","in A. J. Boucot and J. D. Lawson, eds. Paleocommunities--a case study from the Silurian and Lower Devonian. Cambridge University Press, Cambrdige.",,,,200,228,book/book chapter,stated without evidence,,,,,NA,2002-05-13 13:18:31,2002-05-14 06:18:31
M. Foote,M. Foote,M. Foote,6191,I,Chlupac,,,,1987,"Ecostratigraphy of Silurian trilobite assemblages of the Barrandian area, Czechoslovakia",Newsletters on Stratigraphy,,17,3,169,186,journal article,stated without evidence,,,,,NA,2002-05-14 12:31:09,2002-05-15 05:31:09
M. Foote,M. Foote,P. Wagner,6257,J.,K&#345;�,H.,Jaeger,"F. Paris, H. P. Schoenlaub",1986,Pridoli--the fourth subdivision of the Silurian,"Jahrbuch, Geologische Bundesanstalt in Wien",,129,2,291,361,journal article,stated without evidence,English,,"with contributions by A. Angelidis, I. Chlupac, V. Havlicek, M. Kruta, Z. Kukal, J. Marek, R. J. Prokop, M. Snajdr, and V. Turek",,NA,2002-05-16 13:13:00,2008-11-29 12:03:31
